id,ime,prezime,rekord,datum_rođenja,preciznost_značajnih_udaraca,broj_značajnih_udaraca_po_minuti,preciznost_rušenja,broj_rušenja_po_minuti,protivnik_ime,protivnik_prezime,rezultat
1,Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,Ciryl,Gane,pobjeda
1,Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,Dominick,Reyes,pobjeda
11,Stipe,Miocic,20-4-0,1982-08-19,53%,4.82,34%,1.86,Francis,Ngannou,poraz
11,Stipe,Miocic,20-4-0,1982-08-19,53%,4.82,34%,1.86,Daniel,Cormier,pobjeda
12,Tai,Tuivasa,24-3-0,1989-07-22,48%,3.93,14%,0.05,Alexander,Volkov,poraz
12,Tai,Tuivasa,24-3-0,1989-07-22,48%,3.93,14%,0.05,Sergei,Pavlovich,poraz
13,Israel,Adesanya,15-6-0,1993-03-16,49%,3.98,0%,0,Sean,Strickland,poraz
13,Israel,Adesanya,15-6-0,1993-03-16,49%,3.98,0%,0,Alex,Pereira,pobjeda
14,Alex,Pereira,8-2-0,1987-07-07,62%,5.11,100%,0.22,Jan,Blachowicz,pobjeda
14,Alex,Pereira,8-2-0,1987-07-07,62%,5.11,100%,0.22,Israel,Adesanya,poraz
15,Jan,Blachowicz,29-10-1,1983-02-24,50%,3.41,50%,1.09,Alex,Pereira,poraz
15,Jan,Blachowicz,29-10-1,1983-02-24,50%,3.41,50%,1.09,Magomed,Ankalaev,neriješeno
16,Magomed,Ankalaev,18-1-1,1992-06-02,52%,3.55,29%,0.99,Jan,Blachowicz,neriješeno
16,Magomed,Ankalaev,18-1-1,1992-06-02,52%,3.55,29%,0.99,Anthony,Smith,pobjeda
17,Alexander,Volkanovski,26-2-0,1988-09-29,56%,6.25,37%,1.86,Yair,Rodriguez,pobjeda
17,Alexander,Volkanovski,26-2-0,1988-09-29,56%,6.25,37%,1.86,Islam,Makhachev,poraz
18,Islam,Makhachev,24-1-0,1991-10-27,59%,2.35,62%,3.24,Alexander,Volkanovski,pobjeda
18,Islam,Makhachev,24-1-0,1991-10-27,59%,2.35,62%,3.24,Charles,Oliveira,pobjeda
19,Charles,Oliveira,34-9-0,1989-10-17,53%,3.54,40%,2.32,Beneil,Dariush,pobjeda
19,Charles,Oliveira,34-9-0,1989-10-17,53%,3.54,40%,2.32,Islam,Makhachev,poraz
1,Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,Israel,Adesanya,pobjeda
1,Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,Tai,Tuivasa,pobjeda
1,Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,Alex,Pereira,pobjeda
1,Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,Sean,Strickland,pobjeda
30,Leon,Krklec,27-1-0,1987-07-19,57%,4.29,45%,1.93,Sean,Strickland,pobjeda
34,Leon,Herak,27-1-0,1987-07-19,57%,4.29,100%,1.93,Sean,Strickland,pobjeda
